Unnamed: 0,Organisation,Location,Datetime,Details,Status,Price,Mission_status
0,VKS RF,"Site 43/4, Plesetsk Cosmodrome, Russia","Fri Feb 09, 2024 07:03 UTC",Soyuz 2.1v | Cosmos 2575,Active,,Success
1,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Feb 08, 2024 06:33 UTC",Falcon 9 Block 5 | PACE,Active,67.0,Success
2,CASC,"Bo Run Jiu Zhou Barge (Area 2), China Coastal Waters","Sat Feb 03, 2024 03:06 UTC",Jielong-3 | 9 satellites,Active,,Success
3,CASC,"LC-3, Xichang Satellite Launch Center, China","Fri Feb 02, 2024 23:37 UTC",Long March 2C | Geely Constellation Group 02,Active,30.8,Success
4,Rocket Lab,"Rocket Lab LC-1B, Māhia Peninsula, New Zealand","Wed Jan 31, 2024 06:34 UTC",Electron/Curie | Four Of A Kind,Active,7.5,Success
5,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Tue Jan 30, 2024 17:07 UTC",Falcon 9 Block 5 | CRS NG-20,Active,67.0,Success
6,SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Mon Jan 29, 2024 05:57 UTC",Falcon 9 Block 5 | Starlink Group 7-12,Active,67.0,Success
7,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Mon Jan 29, 2024 01:10 UTC",Falcon 9 Block 5 | Starlink Group 6-38,Active,67.0,Success
8,ISA,"Imam Khomeini Spaceport, Semnan Space Center, Iran","Sun Jan 28, 2024 00:04 UTC","Simorgh | Mahda, Keyhan-2 & Hatef-1",Active,,Success
9,Virgin Galactic,"VMS Eve, Spaceport America, New Mexico, USA","Fri Jan 26, 2024 17:42 UTC",SpaceShipTwo | Galactic-06,Active,,Success
10,SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Wed Jan 24, 2024 00:35 UTC",Falcon 9 Block 5 | Starlink Group 7-11,Active,67.0,Success
11,CAS Space,"Site 130, Jiuquan Satellite Launch Center, China","Tue Jan 23, 2024 04:03 UTC",Kinetica 1 | Third Flight,Active,,Success
12,IRGC,"Launch Platform, Shahrud Missile Test Site, Iran","Sat Jan 20, 2024 06:28 UTC",Qaem 100 | Soraya,Active,,Success
13,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Thu Jan 18, 2024 21:49 UTC",Falcon 9 Block 5 | Axiom Mission 3 (AX-3),Active,67.0,Success
