state,x,y
Alabama,208,-150
Alaska,-367,-278
Arizona,-368,-64
Arkansas,66,-81
California,-508,-3
Colorado,-228,42
Connecticut,482,135
Delaware,451,69
Florida,356,-265
Georgia,285,-131
Hawaii,-491,-268
Idaho,-373,201
Illinois,125,66
Indiana,208,57
Iowa,42,117
Kansas,-78,20
Kentucky,226,-3
Louisiana,86,-200
Maine,515,277
Maryland,416,45
Massachusetts,482,181
Michigan,224,163
Minnesota,16,244
Mississippi,137,-126
Missouri,65,3
Montana,-296,272
Nebraska,-101,107
Nevada,-456,94
New Hampshire,494,214
New Jersey,457,97
New Mexico,-253,-83
New York,379,169
North Carolina,340,-33
North Dakota,-109,269
Ohio,266,86
Oklahoma,-56,-64
Oregon,-502,238
Pennsylvania,360,114
Rhode Island,515,158
South Carolina,333,-84
South Dakota,-117,191
Tennessee,183,-54
Texas,-99,-165
Utah,-341,54
Vermont,463,236
Virginia,372,9
Washington,-467,316
West Virginia,318,32
Wisconsin,104,195
Wyoming,-268,150
